field,description,required
id,系统内部编号,是
city,大连/沈阳/省级,是
school,学校或发布机构名称,是
title,招聘公告标题,是
post_date,官方发布日期,是
year,公告年份,是
job_category,行政/辅导员/组织员/教辅/实验技术/招聘通知,是
position_keywords,岗位名称关键词,否
degree_requirement,本科/硕士/博士/不限,否
major_requirement,专业要求,否
political_requirement,是否要求中共党员,否
fresh_graduate,是否限应届生,否
deadline,报名截止日期,否
summary,核心要求摘要,否
list_url,来源列表页,是
detail_url,官方详情页,是
attachment_urls,岗位表或报名表附件,否
content_hash,正文指纹用于识别修改,是
first_seen_at,系统首次发现时间,是
last_seen_at,最后一次检查时间,是
status,有效/已截止/已撤回/待复核,是
is_new_today,是否今日新增,是
