city,school,title,post_date,job_category,deadline,status,detail_url,first_seen_at
省级,辽宁省教育厅,关于2026年度辽宁省空军青少年航空学校拟录取名单的公示,2026-07-15,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026071519055682459/index.shtml,2026-07-19 01:52:12
省级,辽宁省教育厅,关于2026年度辽宁省海军青少年航空学校拟录取名单的公示,2026-07-15,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026071519100313346/index.shtml,2026-07-19 01:52:12
省级,辽宁省教育厅,辽宁省高中等教育招生考试委员会办公室2026年公开招聘递补人员公告,2026-07-16,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026071611254462723/index.shtml,2026-07-19 01:52:12
沈阳,辽宁大学,辽宁大学2026年面向社会公开招聘工作人员递补体检人员通知,2026-07-17,招聘后续通知,,有效,https://rsc.lnu.edu.cn/info/10465/70780.htm,2026-07-19 01:51:22
大连,大连海事大学,大连海事大学2026年度专任教师（博士）、专职科研人员招聘拟聘用人员公...,2026-07-17,招聘后续通知,,有效,https://rcb.dlmu.edu.cn/info/1013/4862.htm,2026-07-19 01:50:10
大连,大连理工大学,大连理工大学教师公寓管理办法（修订）,2021-05-01,行政管理,,有效,https://perdep.dlut.edu.cn/info/1431/19701.htm,2026-07-19 01:49:44
大连,大连理工大学,大连理工大学教学科研人员校外兼职管理办法,2023-10-31,其他招聘,,有效,https://perdep.dlut.edu.cn/info/1431/19711.htm,2026-07-19 01:49:44
大连,大连理工大学,高层次人才服务保障景点游玩篇,2024-02-18,其他招聘,,有效,https://perdep.dlut.edu.cn/info/1431/19721.htm,2026-07-19 01:49:44
大连,大连理工大学,高层次人才服务保障出行服务篇,2024-02-18,其他招聘,,有效,https://perdep.dlut.edu.cn/info/1431/19731.htm,2026-07-19 01:49:44
大连,大连理工大学,高层次人才服务保障健康管理篇,2024-02-22,其他招聘,,有效,https://perdep.dlut.edu.cn/info/1431/19741.htm,2026-07-19 01:49:44
